game_tuple_id,game_id,player_one_algorithm,player_two_algorithm,winner,winner_algorithm,starting_player,total_moves,game_duration_sec,final_nodes_player_one,final_nodes_player_two
1,1,mcts,minimax,Draw,Draw,One,42,20.630412,105899,7939
1,2,mcts,minimax,Two,minimax,One,18,10.082747,40404,6486
1,3,mcts,minimax,Two,minimax,One,20,10.969308,44884,7566
1,4,mcts,minimax,Two,minimax,One,34,16.913314,77276,11566
1,5,mcts,minimax,Two,minimax,One,20,10.750895,44789,5745
1,6,mcts,minimax,Two,minimax,One,34,16.50028,86438,10015
1,7,mcts,minimax,One,mcts,One,33,16.279396,78370,9586
1,8,mcts,minimax,Two,minimax,One,18,11.216307,40651,8853
1,9,mcts,minimax,Two,minimax,One,36,20.766457,92288,8810
1,10,mcts,minimax,Two,minimax,One,30,15.594084,70081,10210
1,11,mcts,minimax,Two,minimax,One,30,16.132331,69998,8823
1,12,mcts,minimax,Two,minimax,One,14,8.622318,31508,6597
1,13,mcts,minimax,One,mcts,One,41,20.430997,102501,9403
1,14,mcts,minimax,Two,minimax,One,22,13.270538,50339,8429
1,15,mcts,minimax,Two,minimax,One,24,15.365726,54584,6497
1,16,mcts,minimax,Two,minimax,One,36,15.921148,83966,7011
1,17,mcts,minimax,Two,minimax,One,16,11.053114,36222,9512
1,18,mcts,minimax,Two,minimax,One,30,15.425563,75943,8500
1,19,mcts,minimax,Two,minimax,One,32,16.449735,74731,7940
1,20,mcts,minimax,Two,minimax,One,14,8.471765,31738,7196
1,21,mcts,minimax,Two,minimax,One,34,16.98078,93656,5969
1,22,mcts,minimax,Two,minimax,One,14,8.543196,31558,6793
1,23,mcts,minimax,Two,minimax,One,30,16.665524,74186,6273
1,24,mcts,minimax,Two,minimax,One,40,17.51892,93296,11699
1,25,mcts,minimax,Two,minimax,One,32,16.458402,76686,9051
1,26,mcts,minimax,Two,minimax,One,16,9.311545,36222,6027
1,27,mcts,minimax,One,mcts,One,31,15.640992,75280,8767
1,28,mcts,minimax,Two,minimax,One,30,15.674805,70137,8823
1,29,mcts,minimax,Two,minimax,One,24,12.986284,54852,8050
1,30,mcts,minimax,Two,minimax,One,20,11.257013,44948,6556
1,31,mcts,minimax,Two,minimax,One,36,18.318557,84267,11341
1,32,mcts,minimax,One,mcts,One,29,15.698482,73239,5926
1,33,mcts,minimax,One,mcts,One,31,17.469002,74421,6880
1,34,mcts,minimax,Two,minimax,One,20,12.750442,44891,7560
1,35,mcts,minimax,Two,minimax,One,28,14.199071,63585,7556
1,36,mcts,minimax,Two,minimax,One,34,19.007029,92646,8572
1,37,mcts,minimax,Two,minimax,One,14,10.374878,31661,7276
1,38,mcts,minimax,Two,minimax,One,20,11.162496,45041,6505
1,39,mcts,minimax,Two,minimax,One,26,12.712579,58508,11309
1,40,mcts,minimax,Two,minimax,One,22,12.696706,49829,12906
1,41,mcts,minimax,One,mcts,One,21,12.36165,48127,9484
1,42,mcts,minimax,Draw,Draw,One,42,20.147763,101549,11730
1,43,mcts,minimax,Two,minimax,One,20,11.918939,44857,7553
1,44,mcts,minimax,Two,minimax,One,22,14.884806,50475,6946
1,45,mcts,minimax,Two,minimax,One,20,11.828936,44904,7564
1,46,mcts,minimax,Two,minimax,One,32,15.895004,72746,8945
1,47,mcts,minimax,Two,minimax,One,28,15.520272,63720,7813
1,48,mcts,minimax,One,mcts,One,35,17.924895,86039,9375
1,49,mcts,minimax,Two,minimax,One,20,11.383259,44961,7568
1,50,mcts,minimax,Two,minimax,One,22,12.440733,49604,8714
2,51,minimax,mcts,One,minimax,One,39,20.465974,7281,102823
2,52,minimax,mcts,One,minimax,One,21,11.58889,6338,45449
2,53,minimax,mcts,One,minimax,One,11,6.12917,4139,22632
2,54,minimax,mcts,One,minimax,One,13,8.425699,5554,27197
2,55,minimax,mcts,One,minimax,One,25,13.470983,7181,58236
2,56,minimax,mcts,One,minimax,One,21,10.818181,5276,46092
2,57,minimax,mcts,One,minimax,One,27,14.129648,7376,61022
2,58,minimax,mcts,One,minimax,One,37,18.36279,11199,93295
2,59,minimax,mcts,One,minimax,One,17,9.545218,4601,36347
2,60,minimax,mcts,One,minimax,One,31,15.523705,6908,70578
2,61,minimax,mcts,One,minimax,One,25,13.306498,5687,54740
2,62,minimax,mcts,One,minimax,One,15,7.800485,5127,31464
2,63,minimax,mcts,One,minimax,One,17,9.920452,6652,36363
2,64,minimax,mcts,One,minimax,One,9,5.14006,2949,18069
2,65,minimax,mcts,One,minimax,One,19,10.889871,5551,40863
