game_tuple_id,game_id,move_number,player,token,algorithm,column_selected,duration_seconds,nodes_visited_running_sum
1,1,1,One,X,mcts,3,1.443983,4563
1,1,2,Two,O,minimax,1,0.074139,783
1,1,3,One,X,mcts,5,1.404077,9109
1,1,4,Two,O,minimax,4,0.119712,2026
1,1,5,One,X,mcts,4,1.226906,13663
1,1,6,Two,O,minimax,3,0.094788,3003
1,1,7,One,X,mcts,4,1.193491,18208
1,1,8,Two,O,minimax,4,0.115345,4180
1,1,9,One,X,mcts,3,1.172415,22805
1,1,10,Two,O,minimax,3,0.072616,4923
1,1,11,One,X,mcts,3,1.126919,27358
1,1,12,Two,O,minimax,4,0.055498,5487
1,1,13,One,X,mcts,1,1.059538,31951
1,1,14,Two,O,minimax,1,0.041245,5908
1,1,15,One,X,mcts,1,1.143902,36553
1,1,16,Two,O,minimax,1,0.049554,6417
1,1,17,One,X,mcts,3,1.097239,41181
1,1,18,Two,O,minimax,4,0.036704,6793
1,1,19,One,X,mcts,2,0.97512,46392
1,1,20,Two,O,minimax,2,0.032183,7123
1,1,21,One,X,mcts,2,0.704385,51398
1,1,22,Two,O,minimax,2,0.018467,7316
1,1,23,One,X,mcts,2,0.753558,56427
1,1,24,Two,O,minimax,0,0.014116,7467
1,1,25,One,X,mcts,0,0.693811,61391
1,1,26,Two,O,minimax,0,0.008,7546
1,1,27,One,X,mcts,5,0.789867,66421
1,1,28,Two,O,minimax,5,0.018145,7736
1,1,29,One,X,mcts,5,1.112459,71842
1,1,30,Two,O,minimax,0,0.010787,7844
1,1,31,One,X,mcts,1,1.027218,77388
1,1,32,Two,O,minimax,0,0.005469,7888
1,1,33,One,X,mcts,0,0.436459,82193
1,1,34,Two,O,minimax,2,0.002314,7906
1,1,35,One,X,mcts,6,0.937457,90956
1,1,36,Two,O,minimax,5,0.001572,7924
1,1,37,One,X,mcts,6,0.713302,97906
1,1,38,Two,O,minimax,5,0.000724,7933
1,1,39,One,X,mcts,6,0.495869,102900
1,1,40,Two,O,minimax,6,0.000347,7937
1,1,41,One,X,mcts,6,0.341274,105899
1,1,42,Two,O,minimax,6,0.000211,7939
1,2,1,One,X,mcts,3,1.462858,4540
1,2,2,Two,O,minimax,1,0.075725,783
1,2,3,One,X,mcts,3,1.485205,9080
1,2,4,Two,O,minimax,3,0.095753,1745
1,2,5,One,X,mcts,5,1.312312,13624
1,2,6,Two,O,minimax,6,0.135311,3132
1,2,7,One,X,mcts,2,1.017874,18095
1,2,8,Two,O,minimax,4,0.090449,4059
1,2,9,One,X,mcts,2,1.023138,22655
1,2,10,Two,O,minimax,1,0.061042,4703
1,2,11,One,X,mcts,5,0.817349,27113
1,2,12,Two,O,minimax,4,0.080607,5502
1,2,13,One,X,mcts,2,0.873854,31579
1,2,14,Two,O,minimax,2,0.051696,6018
1,2,15,One,X,mcts,4,0.840095,36074
1,2,16,Two,O,minimax,1,0.031232,6343
1,2,17,One,X,mcts,2,0.610978,40404
1,2,18,Two,O,minimax,1,0.013594,6486
1,3,1,One,X,mcts,3,1.481065,4541
1,3,2,Two,O,minimax,1,0.075816,783
1,3,3,One,X,mcts,3,1.322336,9079
1,3,4,Two,O,minimax,3,0.094389,1745
1,3,5,One,X,mcts,5,1.209475,13624
1,3,6,Two,O,minimax,6,0.136528,3132
1,3,7,One,X,mcts,2,0.993899,18104
1,3,8,Two,O,minimax,4,0.086273,4059
1,3,9,One,X,mcts,2,1.076632,22647
1,3,10,Two,O,minimax,1,0.059696,4703
1,3,11,One,X,mcts,2,0.885515,27125
1,3,12,Two,O,minimax,2,0.054506,5218
1,3,13,One,X,mcts,5,0.987175,31576
1,3,14,Two,O,minimax,4,0.077063,6022
1,3,15,One,X,mcts,5,0.755033,36030
1,3,16,Two,O,minimax,5,0.118362,7113
1,3,17,One,X,mcts,3,0.96073,40615
1,3,18,Two,O,minimax,1,0.030274,7422
1,3,19,One,X,mcts,4,0.547403,44884
1,3,20,Two,O,minimax,1,0.012955,7566
1,4,1,One,X,mcts,3,1.454677,4548
1,4,2,Two,O,minimax,1,0.075919,783
1,4,3,One,X,mcts,3,1.335571,9103
1,4,4,Two,O,minimax,3,0.09709,1745
1,4,5,One,X,mcts,5,1.305015,13643
1,4,6,Two,O,minimax,6,0.141116,3132
1,4,7,One,X,mcts,2,1.071447,18138
1,4,8,Two,O,minimax,4,0.093162,4059
1,4,9,One,X,mcts,2,1.06059,22695
1,4,10,Two,O,minimax,1,0.065083,4703
1,4,11,One,X,mcts,4,0.854723,27148
1,4,12,Two,O,minimax,5,0.094352,5666
1,4,13,One,X,mcts,2,1.111067,31681
1,4,14,Two,O,minimax,2,0.055127,6182
1,4,15,One,X,mcts,4,0.999262,36271
1,4,16,Two,O,minimax,3,0.090686,7010
1,4,17,One,X,mcts,4,0.741426,40763
1,4,18,Two,O,minimax,4,0.083421,7809
1,4,19,One,X,mcts,5,0.845672,45307
1,4,20,Two,O,minimax,5,0.10003,8767
1,4,21,One,X,mcts,3,0.704624,49919
1,4,22,Two,O,minimax,6,0.087099,9595
1,4,23,One,X,mcts,6,0.719119,54447
1,4,24,Two,O,minimax,6,0.09363,10360
1,4,25,One,X,mcts,1,0.887558,58999
1,4,26,Two,O,minimax,1,0.043405,10800
1,4,27,One,X,mcts,2,0.828951,63529
1,4,28,Two,O,minimax,2,0.032858,11131
1,4,29,One,X,mcts,0,0.878201,68464
1,4,30,Two,O,minimax,1,0.025411,11370
1,4,31,One,X,mcts,0,0.550022,72982
1,4,32,Two,O,minimax,3,0.0162,11556
1,4,33,One,X,mcts,0,0.362889,77276
1,4,34,Two,O,minimax,0,0.000711,11566
1,5,1,One,X,mcts,3,1.497372,4541
1,5,2,Two,O,minimax,1,0.077982,783
1,5,3,One,X,mcts,3,1.357882,9082
1,5,4,Two,O,minimax,3,0.098882,1745
1,5,5,One,X,mcts,5,1.256672,13641
1,5,6,Two,O,minimax,6,0.19597,3132
1,5,7,One,X,mcts,4,1.070332,18123
1,5,8,Two,O,minimax,2,0.056883,3706
1,5,9,One,X,mcts,2,1.042103,22667
1,5,10,Two,O,minimax,4,0.073231,4480
1,5,11,One,X,mcts,2,1.038047,27208
1,5,12,Two,O,minimax,2,0.049418,4982
1,5,13,One,X,mcts,1,0.953508,31738
1,5,14,Two,O,minimax,3,0.028341,5302
1,5,15,One,X,mcts,0,0.752498,36187
1,5,16,Two,O,minimax,0,0.022373,5526
1,5,17,One,X,mcts,1,0.660263,40592
1,5,18,Two,O,minimax,1,0.01762,5732
1,5,19,One,X,mcts,0,0.496081,44789
1,5,20,Two,O,minimax,0,0.001144,5745
1,6,1,One,X,mcts,3,1.485572,4554
1,6,2,Two,O,minimax,1,0.074958,783
1,6,3,One,X,mcts,6,1.2585,9096
1,6,4,Two,O,minimax,4,0.136563,2160
1,6,5,One,X,mcts,3,1.324335,13653
1,6,6,Two,O,minimax,1,0.083559,3013
1,6,7,One,X,mcts,3,1.115497,18170
1,6,8,Two,O,minimax,3,0.053143,3580
1,6,9,One,X,mcts,1,1.204002,22712
1,6,10,Two,O,minimax,0,0.072995,4270
1,6,11,One,X,mcts,4,1.086531,27252
1,6,12,Two,O,minimax,4,0.103413,5307
1,6,13,One,X,mcts,6,1.034487,31796
1,6,14,Two,O,minimax,4,0.092086,6177
1,6,15,One,X,mcts,6,0.833634,36290
1,6,16,Two,O,minimax,6,0.171625,7886
1,6,17,One,X,mcts,1,0.858458,40794
1,6,18,Two,O,minimax,4,0.061227,8489
1,6,19,One,X,mcts,4,0.685172,45375
1,6,20,Two,O,minimax,3,0.041442,8908
1,6,21,One,X,mcts,1,0.679854,50034
1,6,22,Two,O,minimax,1,0.02051,9125
1,6,23,One,X,mcts,5,0.678423,54925
1,6,24,Two,O,minimax,5,0.025437,9385
1,6,25,One,X,mcts,6,0.723461,60156
1,6,26,Two,O,minimax,5,0.022385,9617
1,6,27,One,X,mcts,5,0.767608,65779
1,6,28,Two,O,minimax,5,0.023511,9853
1,6,29,One,X,mcts,3,0.700846,71709
1,6,30,Two,O,minimax,5,0.012506,9978
1,6,31,One,X,mcts,6,0.644652,80109
1,6,32,Two,O,minimax,2,0.001994,10001
1,6,33,One,X,mcts,2,0.413628,86438
1,6,34,Two,O,minimax,2,0.001104,10015
1,7,1,One,X,mcts,3,1.484016,4554
1,7,2,Two,O,minimax,1,0.075778,783
1,7,3,One,X,mcts,5,1.299932,9101
1,7,4,Two,O,minimax,4,0.127757,2026
1,7,5,One,X,mcts,3,1.343391,13646
1,7,6,Two,O,minimax,4,0.111987,3178
1,7,7,One,X,mcts,3,1.091136,18156
1,7,8,Two,O,minimax,3,0.070738,3921
1,7,9,One,X,mcts,4,1.191339,22718
1,7,10,Two,O,minimax,2,0.108311,4985
1,7,11,One,X,mcts,1,1.140167,27262
1,7,12,Two,O,minimax,1,0.064552,5628
1,7,13,One,X,mcts,2,1.126691,31798
1,7,14,Two,O,minimax,2,0.073651,6376
1,7,15,One,X,mcts,4,1.003132,36314
1,7,16,Two,O,minimax,4,0.099296,7368
1,7,17,One,X,mcts,3,0.930207,40850
1,7,18,Two,O,minimax,1,0.069781,8014
1,7,19,One,X,mcts,1,0.905708,45411
1,7,20,Two,O,minimax,2,0.041295,8453
1,7,21,One,X,mcts,2,0.793745,49989
1,7,22,Two,O,minimax,3,0.041934,8889
1,7,23,One,X,mcts,5,0.695526,54826
1,7,24,Two,O,minimax,5,0.029755,9217
1,7,25,One,X,mcts,5,0.624373,59527
1,7,26,Two,O,minimax,5,0.017785,9395
1,7,27,One,X,mcts,5,0.69219,64759
1,7,28,Two,O,minimax,1,0.014069,9525
1,7,29,One,X,mcts,2,0.456771,70017
1,7,30,Two,O,minimax,4,0.004081,9566
1,7,31,One,X,mcts,6,0.364012,75336
1,7,32,Two,O,minimax,0,0.001577,9586
1,7,33,One,X,mcts,0,0.177515,78370
1,8,1,One,X,mcts,3,1.421728,4554
1,8,2,Two,O,minimax,1,0.074833,783
1,8,3,One,X,mcts,3,1.314141,9120
1,8,4,Two,O,minimax,3,0.097035,1745
1,8,5,One,X,mcts,2,1.281953,13668
1,8,6,Two,O,minimax,2,0.102836,2757
1,8,7,One,X,mcts,5,1.051023,18148
1,8,8,Two,O,minimax,4,0.104624,3796
1,8,9,One,X,mcts,5,1.23292,22702
1,8,10,Two,O,minimax,4,0.171954,5344
1,8,11,One,X,mcts,5,0.873517,27186
1,8,12,Two,O,minimax,5,0.142598,6762
1,8,13,One,X,mcts,2,1.063571,31727
1,8,14,Two,O,minimax,3,0.123965,7763
1,8,15,One,X,mcts,2,1.273232,36292
1,8,16,Two,O,minimax,3,0.120317,8572
1,8,17,One,X,mcts,2,0.734974,40651
1,8,18,Two,O,minimax,3,0.027043,8853
1,9,1,One,X,mcts,3,1.500936,4542
1,9,2,Two,O,minimax,1,0.08082,783
1,9,3,One,X,mcts,4,1.500909,9081
1,9,4,Two,O,minimax,5,0.19724,2353
1,9,5,One,X,mcts,3,1.69669,13653
1,9,6,Two,O,minimax,4,0.14596,3365
1,9,7,One,X,mcts,3,1.151579,18176
1,9,8,Two,O,minimax,3,0.069169,4059
1,9,9,One,X,mcts,4,1.360679,22730
1,9,10,Two,O,minimax,2,0.110342,5034
1,9,11,One,X,mcts,2,1.395576,27269
1,9,12,Two,O,minimax,2,0.053192,5539
1,9,13,One,X,mcts,1,1.070049,31869
1,9,14,Two,O,minimax,1,0.042656,6001
1,9,15,One,X,mcts,2,0.981739,36383
1,9,16,Two,O,minimax,4,0.076252,6800
1,9,17,One,X,mcts,3,1.001569,40889
1,9,18,Two,O,minimax,3,0.077985,7613
1,9,19,One,X,mcts,2,0.919428,45540
1,9,20,Two,O,minimax,4,0.030256,7927
1,9,21,One,X,mcts,0,0.865978,50283
1,9,22,Two,O,minimax,0,0.013519,8051
1,9,23,One,X,mcts,2,1.444748,55200
1,9,24,Two,O,minimax,4,0.034174,8294
1,9,25,One,X,mcts,1,1.287043,61039
1,9,26,Two,O,minimax,1,0.012277,8418
1,9,27,One,X,mcts,6,1.146566,67230
1,9,28,Two,O,minimax,0,0.021601,8577
1,9,29,One,X,mcts,6,0.776645,73544
1,9,30,Two,O,minimax,6,0.012808,8697
1,9,31,One,X,mcts,1,0.714397,80482
1,9,32,Two,O,minimax,6,0.006436,8761
1,9,33,One,X,mcts,6,0.543999,87203
1,9,34,Two,O,minimax,0,0.002988,8795
1,9,35,One,X,mcts,5,0.411469,92288
1,9,36,Two,O,minimax,0,0.001204,8810
1,10,1,One,X,mcts,4,1.545686,4541
1,10,2,Two,O,minimax,2,0.110512,1117
1,10,3,One,X,mcts,4,1.383096,9090
1,10,4,Two,O,minimax,4,0.134792,2405
1,10,5,One,X,mcts,2,1.304374,13649
1,10,6,Two,O,minimax,4,0.083249,3261
1,10,7,One,X,mcts,3,1.166861,18191
1,10,8,Two,O,minimax,3,0.134026,4604
1,10,9,One,X,mcts,6,1.005564,22650
1,10,10,Two,O,minimax,5,0.1486,6026
1,10,11,One,X,mcts,3,1.113103,27199
1,10,12,Two,O,minimax,4,0.097629,6993
1,10,13,One,X,mcts,4,1.019157,31925
1,10,14,Two,O,minimax,3,0.048489,7455
1,10,15,One,X,mcts,2,1.003481,36697
1,10,16,Two,O,minimax,2,0.050662,7952
1,10,17,One,X,mcts,2,1.110822,41488
1,10,18,Two,O,minimax,3,0.082755,8530
1,10,19,One,X,mcts,6,0.954022,46451
1,10,20,Two,O,minimax,3,0.060751,9086
1,10,21,One,X,mcts,6,0.475649,50882
1,10,22,Two,O,minimax,6,0.05226,9590
1,10,23,One,X,mcts,0,0.857619,56083
1,10,24,Two,O,minimax,0,0.013256,9725
1,10,25,One,X,mcts,0,0.794579,61388
1,10,26,Two,O,minimax,0,0.016896,9888
1,10,27,One,X,mcts,1,0.410074,65765
1,10,28,Two,O,minimax,6,0.025641,10153
1,10,29,One,X,mcts,1,0.378963,70081
1,10,30,Two,O,minimax,1,0.004714,10210
1,11,1,One,X,mcts,3,1.45859,4540
1,11,2,Two,O,minimax,1,0.077377,783
1,11,3,One,X,mcts,4,1.351372,9088
1,11,4,Two,O,minimax,5,0.164265,2353
1,11,5,One,X,mcts,3,1.323368,13694
1,11,6,Two,O,minimax,4,0.104363,3365
1,11,7,One,X,mcts,3,1.124311,18207
1,11,8,Two,O,minimax,3,0.071949,4059
1,11,9,One,X,mcts,4,1.31663,22770
1,11,10,Two,O,minimax,2,0.106164,5034
1,11,11,One,X,mcts,1,1.108136,27309
1,11,12,Two,O,minimax,1,0.061083,5598
1,11,13,One,X,mcts,2,1.327564,31841
1,11,14,Two,O,minimax,2,0.07243,6112
1,11,15,One,X,mcts,4,1.286936,36346
1,11,16,Two,O,minimax,4,0.08526,6885
1,11,17,One,X,mcts,3,0.993978,40871
1,11,18,Two,O,minimax,1,0.067341,7537
1,11,19,One,X,mcts,1,0.857296,45441
1,11,20,Two,O,minimax,2,0.042701,7997
1,11,21,One,X,mcts,2,0.776529,50017
1,11,22,Two,O,minimax,3,0.045042,8476
1,11,23,One,X,mcts,2,0.765841,54882
1,11,24,Two,O,minimax,4,0.016466,8659
1,11,25,One,X,mcts,5,0.551832,59992
1,11,26,Two,O,minimax,5,0.006998,8736
1,11,27,One,X,mcts,5,0.485718,64885
1,11,28,Two,O,minimax,5,0.007237,8803
1,11,29,One,X,mcts,1,0.466944,69998
1,11,30,Two,O,minimax,5,0.001803,8823
1,12,1,One,X,mcts,3,1.667252,4540
1,12,2,Two,O,minimax,1,0.077779,783
1,12,3,One,X,mcts,3,1.37667,9078
1,12,4,Two,O,minimax,3,0.095224,1745
1,12,5,One,X,mcts,4,1.255198,13616
1,12,6,Two,O,minimax,6,0.157356,3323
1,12,7,One,X,mcts,5,1.016522,18101
1,12,8,Two,O,minimax,2,0.109016,3897
1,12,9,One,X,mcts,4,1.14218,22650
1,12,10,Two,O,minimax,2,0.115392,4896
1,12,11,One,X,mcts,6,0.724307,27086
1,12,12,Two,O,minimax,5,0.123752,6136
1,12,13,One,X,mcts,4,0.714325,31508
1,12,14,Two,O,minimax,4,0.044247,6597
1,13,1,One,X,mcts,3,1.681237,4540
1,13,2,Two,O,minimax,1,0.07817,783
1,13,3,One,X,mcts,4,1.3226,9082
1,13,4,Two,O,minimax,5,0.155848,2353
1,13,5,One,X,mcts,3,1.442281,13632
1,13,6,Two,O,minimax,4,0.108572,3365
1,13,7,One,X,mcts,3,1.214649,18153
1,13,8,Two,O,minimax,3,0.093755,4059
1,13,9,One,X,mcts,4,1.344094,22762
1,13,10,Two,O,minimax,2,0.105248,5034
1,13,11,One,X,mcts,1,1.19241,27324
1,13,12,Two,O,minimax,1,0.056092,5598
1,13,13,One,X,mcts,2,1.11974,31877
1,13,14,Two,O,minimax,2,0.048027,6112
1,13,15,One,X,mcts,4,0.982634,36378
1,13,16,Two,O,minimax,4,0.080673,6885
1,13,17,One,X,mcts,3,0.969657,40910
1,13,18,Two,O,minimax,1,0.064438,7537
1,13,19,One,X,mcts,1,0.883251,45461
1,13,20,Two,O,minimax,2,0.044646,7997
1,13,21,One,X,mcts,2,1.024413,50046
1,13,22,Two,O,minimax,3,0.072333,8476
1,13,23,One,X,mcts,5,1.0021,54898
1,13,24,Two,O,minimax,5,0.046559,8823
1,13,25,One,X,mcts,0,0.836772,59619
1,13,26,Two,O,minimax,0,0.012329,8943
1,13,27,One,X,mcts,5,0.617575,64250
1,13,28,Two,O,minimax,5,0.026814,9208
1,13,29,One,X,mcts,5,0.766811,70570
1,13,30,Two,O,minimax,0,0.008083,9301
1,13,31,One,X,mcts,0,0.645519,76024
1,13,32,Two,O,minimax,0,0.003607,9343
1,13,33,One,X,mcts,2,0.772718,82781
1,13,34,Two,O,minimax,0,0.003977,9386
1,13,35,One,X,mcts,4,0.629064,90514
1,13,36,Two,O,minimax,1,0.000748,9395
1,13,37,One,X,mcts,6,0.458847,96504
1,13,38,Two,O,minimax,6,0.000424,9400
1,13,39,One,X,mcts,6,0.329003,100501
1,13,40,Two,O,minimax,6,0.000246,9403
1,13,41,One,X,mcts,6,0.176172,102501
1,14,1,One,X,mcts,3,1.645419,4557
1,14,2,Two,O,minimax,1,0.078197,783
1,14,3,One,X,mcts,1,1.32852,9111
1,14,4,Two,O,minimax,3,0.081538,1564
1,14,5,One,X,mcts,5,1.332166,13655
1,14,6,Two,O,minimax,4,0.098429,2542
1,14,7,One,X,mcts,5,1.245848,18200
1,14,8,Two,O,minimax,5,0.143647,3920
1,14,9,One,X,mcts,3,1.419982,22756
1,14,10,Two,O,minimax,5,0.119407,5024
1,14,11,One,X,mcts,5,1.11839,27329
1,14,12,Two,O,minimax,3,0.100991,5980
1,14,13,One,X,mcts,1,1.262405,31895
1,14,14,Two,O,minimax,1,0.0703,6701
1,14,15,One,X,mcts,5,1.074773,36487
1,14,16,Two,O,minimax,2,0.078333,7423
1,14,17,One,X,mcts,1,0.826715,41246
1,14,18,Two,O,minimax,4,0.041126,7815
1,14,19,One,X,mcts,4,0.590982,45887
1,14,20,Two,O,minimax,4,0.052587,8323
1,14,21,One,X,mcts,2,0.545884,50339
1,14,22,Two,O,minimax,2,0.010042,8429
1,15,1,One,X,mcts,3,2.093039,4540
1,15,2,Two,O,minimax,1,0.130077,783
1,15,3,One,X,mcts,3,1.692056,9087
1,15,4,Two,O,minimax,3,0.100742,1745
1,15,5,One,X,mcts,1,1.42749,13630
1,15,6,Two,O,minimax,5,0.092431,2688
1,15,7,One,X,mcts,3,1.241246,18178
1,15,8,Two,O,minimax,0,0.040417,3078
1,15,9,One,X,mcts,5,1.202369,22719
1,15,10,Two,O,minimax,6,0.080512,3699
1,15,11,One,X,mcts,1,1.060915,27253
1,15,12,Two,O,minimax,0,0.033113,4027
1,15,13,One,X,mcts,1,1.075223,31764
1,15,14,Two,O,minimax,1,0.029264,4316
1,15,15,One,X,mcts,0,1.039593,36326
1,15,16,Two,O,minimax,0,0.026382,4569
1,15,17,One,X,mcts,6,1.103004,40882
1,15,18,Two,O,minimax,0,0.041924,4986
1,15,19,One,X,mcts,4,0.89191,45423
1,15,20,Two,O,minimax,4,0.05824,5555
1,15,21,One,X,mcts,4,0.954982,50010
1,15,22,Two,O,minimax,4,0.079255,6321
1,15,23,One,X,mcts,2,0.849255,54584
1,15,24,Two,O,minimax,2,0.017097,6497
1,16,1,One,X,mcts,3,1.443621,4548
1,16,2,Two,O,minimax,1,0.075605,783
1,16,3,One,X,mcts,3,1.348642,9098
1,16,4,Two,O,minimax,3,0.09488,1745
1,16,5,One,X,mcts,1,1.280157,13641
1,16,6,Two,O,minimax,5,0.091427,2688
1,16,7,One,X,mcts,3,1.21117,18182
1,16,8,Two,O,minimax,0,0.037854,3078
1,16,9,One,X,mcts,0,1.144094,22719
1,16,10,Two,O,minimax,1,0.057427,3679
1,16,11,One,X,mcts,0,1.066439,27224
1,16,12,Two,O,minimax,1,0.040609,4115
1,16,13,One,X,mcts,0,0.895715,31702
1,16,14,Two,O,minimax,0,0.021812,4318
1,16,15,One,X,mcts,5,0.968395,36233
